Complex PDB	Antibody PDB	Antibody	Antigen PDB	Antigen	I-RMSD (Å)	ΔASA (Å2)	Category	New
4FQI_HL:ABEFCD 	4FQH_HL	CR9114 FAB	2FK0_ABCDEF	H5N1 influenza virus hemagglutinin	1.08	1459	Rigid	
4G6J_HL:A 	4G5Z_HL	Canakinumab antibody fragment	4I1B_A	Interleukin-1 beta	0.61	1893	Rigid	
4G6M_HL:A 	4G6K_HL	Gevokizumab antibody fragment	4I1B_A	Interleukin-1 beta	0.52	1673	Rigid	
4GXU_MN:ABEFCD 	4GXV_HL	1F1 antibody	1RUZ_HIJKLM	1918 H1 Hemagglutinin	0.78	1830	Rigid	
2DD8_HL:S	2G75_AB	m396	2GHV_E	SARS spike	2.19	1709.7	Medium	X
3RJQ_B:A	3R0M_A	A12	3TGR_A	C1086 HIV gp120	0.79	1734.4	Medium	X
4ETQ_HL:C	4EBQ_HL	LA5	4E9O_X	vaccinia D8L IMV	0.47	2277.9	Medium	X
4M3K_B:A	4M3J_A	cAb-H7S	4BLM_A	B. licheniformis beta-lactamase	1.77	1588	Medium	X
4POU_B:A	4POY_A	VHHmetal	6ETL_A	bovine RNase A	1.83	1313.3	Medium	X
5CBA_AB:E	5C2B_HL	3B4 scFv	4ZAI_A	CXCL13	1.49	1790.2	Medium	X
5E5M_B:A	5E03_A	H11	5E56_A	mouse CTLA-4	1.56	1341.4	Medium	X
5HGG_T:A	5HDO_A	Nb4	4FUD_A	uPA	0.84	1969	Medium	X
5HYS_CD:JK	2XA8_HL	omalizumab (Xolair)	4GT7_AB	IgE-Fc3-4	1	1331.6	Medium	X
5KOV_C:AB	5I30_HL	PL-2 scFv	5KOU_AB	astrovirus 2 capsid protein spike domain	1.69	1735	Medium	X
5VNW_D:A	5VNV_A	Nb.b201	1E78_A	human serum albumin	1.49	966.8	Medium	X
5WHK_HL:AB	5WHJ_HL	DX-2507	5BXF_AB	FcRn-B2M	1.88	1849.6	Medium	X
6A0Z_HL:A	6A0X_AB	13D4	2FK0_A	H5N1 hemagglutinin head	1.28	1660.7	Medium	X
6AL0_HL:A	4YNY_AB	NZ-1	6AKQ_A	A. aeolicus site-2 protease homolog with PA tag insertion	1.89	1622.8	Medium	X
6EY6_I:AB	5FWO_A	nb130	6EY5_AB	P. gingivalis PorM	1.9	1806.8	Medium	X
3EO1_AB:CF 	3EO0_AB	GC-1008  FAB fragment	1TGJ_AB	Transforming Growth Factor-Beta 3	1.37	1630	Medium	
3G6D_LH:A 	3G6A_LH	CNTO607 FAB	1IK0_A(10)	Interleukin-13	1.86	1793	Medium	
3HI6_XY:B 	3HI5_HL	AL-57 FAB fragment	1MJN_A	Integrin alpha-L I domain	1.65	1871	Medium	
3L5W_LH:I 	3L7E_LH	C836 FAB	1IK0_A(11)	Interleukin-13	0.48	1138	Medium	
3V6Z_AB:F 	3V6F_AB	FAB E6	3KXS_F	Capsid protein assembly domain	1.82	1922	Medium	
2FJG_HL:VW	2FJF_HL	G6	4KZN_AB	VEGF	2.51	1678.2	Difficult	X
4DW2_HL:U	4DVB_AB	mAb-112	4DVA_U	uPA	2.27	2037.6	Difficult	X
5C7X_HL:A	5D7S_HL	MOR04357	2GMF_A	GM-CSF	2.31	2523.3	Difficult	X
